"serial","儲存日期","序號","主旨","提問日期","答覆內容"
"11","0000-00-00 00:00:00","22921","如果圖書館分編工作採外包方式，請問雙方簽約時應注意之事項為何？","2010-01-01","僅就個人所知，針對分編工作採外包方式，簽約時應注意之事項，簡述如下： 1 契約必載事項： 1.1 契約書必須載明“契約標的、作業期限、交貨與驗收、作業費用與付款方式、罰則、得標廠商（乙方）人員資格及管理、履約保證金”等事項。 1.2 除上述必載項目外，有關契約之履約、違約、爭議等問題以及著作權之聲明，亦須在契約書載明之。訂約時，可就“著作權聲明、契約範圍、適用法律、管轄範圍、契約收執”等事項，加以規範。 2 書寫注意事項： 2.1 訂約時，雙方可簡稱為“甲”、“乙”方。通常訂約圖書館（本館）為甲方，得標廠商為乙方。 2.2 第一次提及“年月日”時，其前註明“民國”或“中華民國”字樣；第二次及其後提及，可省略之。 2.3 書寫金額時，請以中文大寫數字書寫，末尾加一“整”或“正”字，其前註明“新臺幣”字樣。 3 不必記載事項： 3.1 有關“公司必備條件”事項，因係簽約前參加招標必備之條件，故簽約時公司已是合格廠商，故契約書自無須註明。 3.2 有關“編目規範工具”及“書目著錄要求”事項，牽涉到編目作業細節問題，不必規定於契約書內，以免過於瑣碎，可另規定於“作業規格需求書”或“招標規範”中。 4 文書認證事項：雙方所訂之契約書，最好應請律師過目，俾使內容文字及格式符合法律文書之要求；必要時可請律師認證或向地方法院公證處聲請公證，以確保契約履行之效力。"
"12","0000-00-00 00:00:00","22922","大家好，本人上網查檢《中國圖書分類法》，都只查到pdf和word的格式，如轉成資料庫的話，很不方便。請問有沒有以xml或txt, excel, xls格式建置之表格檔，提供下載使用？特此請教，萬分感謝！","2010-01-01","非常抱歉，目前電子網路上《中國圖書分類法》只提供pdf和word格式，並無xml或txt, excel, xls等格式提供下載。"
"13","0000-00-00 00:00:00","22923","1. 請問國圖編目工作是否為外包？ 2. 請問徐四金的著者號為何是“4448”？","2010-01-01","1 近年來由於臺灣地區出版事業的蓬勃發展，另方面也由於本館採訪徵集量年有所增，顯已超出國家圖書館目前編目人力之負荷，故本館基於迅速提供讀者文獻服務，特將其中一部分之文獻編目作業，委由編目外包公司處理。 2 非常抱歉！由於 臺端未註明作者取號所使用之編目規範工具為何？故無法知曉徐四金的著者號為何是“4448”。 臺端如願意提供更詳細的訊息，個人樂於解惑釋疑。"
"14","0000-00-00 00:00:00","22924","請問文獻內容語文為英文，但書名卻是中文，那麼該文獻應依何種語文編目規則著錄 ─ 西文還是中文？","2010-01-01","本館曾就文獻正文語文、書名頁及版權頁語文之異同，應如何適用中西文編目規則之認定問題，編訂“國家圖書館書目記錄編目語文認定原則”一種，提供本館編目業務參考之用。請上網連線至“國家圖書館編目園地全球資訊網”（http://catweb.ncl.edu.tw）上之“編目規範標準／國內／其他／國家圖書館編目規範解釋及分編要點／國家圖書館書目記錄編目語文認定原則”參閱之。"
"15","0000-00-00 00:00:00","22925","請問一個稱職的圖書館編目人員，應具備那些基本素養？","2010-01-01","臺端所問之問題，直可寫成一篇研究報告或調查報告，甚至一篇研究論文（或學位論文）。唯依提問題意，應屬可簡答的問題。因此，本人即以後者為準，略予解答如下。至於如欲進一步詳知其內容，建議請查閱編目相關文獻。 1 專業背景：應具備圖書資訊學、文獻學、編目知能、文獻檢索、利用工具書、利用電腦及網路等專業知能。另外，最好略具各科基本知識。 2 語文能力：大部分文獻是用文字以紀錄其知識的，故只有在具備某種語文能力基礎上，才具有某種語文編目之能力。建議除具備本國語文能力外，最好能略通一二種外國語文，以備文獻分編實務之需。 3 專攻領域：除圖書館學專業外，最好再專攻諸如人文學（或文史哲學）、社會科學、自然科學、應用科學等學科群下之某一專科知識領域，如此或可形成某一專科文獻學，對於文獻分編工作自然有很大的助益。 4 人格特質：除具備一般職業倫理外，尤其特別要求“四心”：細心、耐心、熱心、愛心。另外，最好具備知識探索的精神。"
"16","0000-00-00 00:00:00","22926","請問圖書館編目工作有那些內容，是否有文獻可提供參考查閱？","2010-01-01","非常抱歉，有關圖書館編目工作包括那些內容，在此不能詳細作答。但概括言之，主要包括記述編目（又稱描述編目、文獻著錄）、主題編目（又稱文獻標引，包括分類標引及主題標引）、權威控制、目錄組織（包括目錄維護）、圖書加工（又稱技術加工、輔助加工）、目錄改編（又稱圖書改編）等環節。至於如欲進一步詳知其內容，建議請查閱編目相關文獻。"
"17","0000-00-00 00:00:00","22927","目前有一種數位學習系統iRead免費提供學生直接在網頁上閱讀教材，同時還配有生動的虛擬教學，打破了現有e-learning的所有成規。最近，本館就收到《iRead全民英檢初級仿真試題解析》（晨曦版）第一回光碟，另附iRead閱讀器，也是一種e化的學習系統。請問像這種類型的文獻，應如何編目呢？","2010-01-01","貴館最近入藏之《iRead全民英檢初級仿真試題解析》（晨曦版）第一回光碟（另附iRead閱讀器），係屬於電子資源大家族中的一個成員，其編目規範可適用《中國編目規則》（第3版）“第13章 電子資源”相關條文。"
"18","0000-00-00 00:00:00","22928","您好，想請教關於視聽資料中外文的界定原則為何？又如果是演奏性質的純音樂該歸為中文或外文？謝謝！","2010-01-01","視聽資料的語文界定原則與圖書資料大致相同，不過因資料的結構不同，其認定方式稍有差異，茲說明如下： 1 依據“國家圖書館書目紀錄編目語文認定原則”（90年5月28日修訂，93年7月28日第一次修正，http://catweb.ncl.edu.tw/2-1-13-7.htm）為視聽資料及語文學習作品之編目語文認定規範。茲條列其中與視聽資料有關者： 1.1 視聽資料作品內容包含發音及字幕。 1.2 純畫面錄影資料及無曲目之錄音資料(如默劇、大自然或人為聲音、舞蹈表演等) 比照上列1之原則，如下表中英並列”欄2、欄3、欄4所列內容認定之。 3 純演奏錄音資料作品內容按以下原則判斷語文： 3.1 中國國樂（含民族音樂）及中文流行音樂作品內容視為中文。 3.2 外國古典音樂、民族音樂及流行音樂之作品內容視為西文（日、韓文除外）。 3.3 無法決定者，再依曲目文字判斷之。"
"19","0000-00-00 00:00:00","22929","請問特藏的定義是什麼，是不是指機關團體自己編撰之圖書或印行之出版品？","2010-01-01","特藏是一種專門藏書。它們是為了收集、保存和利用某一形式的文獻（如縮微資料、聲像資料、線裝古籍、專利文獻、學位論文等）、某一專題領域的文獻（如東亞文獻）、某一時代的文獻（如唐代文獻）、某一地域的文獻（如江蘇文獻）、有關某一個人的文獻（如梁啟超研究文獻）、珍貴文獻（如善本）、易損壞的文獻、有某種價值的文獻等，而專門建立起來的藏書。 以實際情況而論，每一個圖書館所建立之特藏範圍是相同的。以國家圖書館為例，所謂特藏是指善本、古籍、拓片、年畫、古文書等有關古代文獻及文物而言。 臺端所提「是不是指機關團體自己編撰之圖書或印行之出版品」，答案既是肯定的也是否定的。根據上述定義，機關出版品的確可以成為特藏之對象，但要視圖書館館藏政策而定。例如國家圖書館就收藏有政府出版品，唯並未列入特藏範圍。"
"20","0000-00-00 00:00:00","22930","如果我們進行中文書編目，請問有那些編目資源可提供抄錄編目？（原提問文字為「抄編的方式有那些？」）","2010-01-01","臺端如果進行中文文獻編目，有下列編目資源可提供抄錄編目之用： 網路資源 ‧NBINet（全國圖書書目資訊網）http://nbinet.ncl.edu.tw/screens/mainmenu_chi.html ‧ISBN-net（全國新書資訊網）http://lib.ncl.edu.tw/isbn/index.htm ‧中文名稱權威資料庫http://192.83.186.103/nclach/ ‧佛教著者人名權威資料庫http://www.gaya.org.tw/library/author/index.asp ‧各圖書館書目系統或館藏目錄 光碟資源 ‧SinoCat（中華民國出版圖書目錄光碟系統） ‧SinoBook（中華民國出版圖書目錄彙編電子書光碟系統） ‧SinoCIP（中華民國預行編目書目光碟系統）"
"21","0000-00-00 00:00:00","22931","請問國家圖書館已經利用電腦程式合併相同作品的書目資料，為什麼當我查詢某一相同的作品時，會出現多筆的書目資料呢？","2010-01-01","1 對於同一作品的多筆書目紀錄，國家圖書館電腦程式確實已合併並處理了部分資料，但仍然存有下列各種問題或原因，致使對同一作品識讀為兩筆書目紀錄，這時則必須依人工加以判斷和處理。 2 文獻著錄或編目建檔時，所謂「相同的作品」是指「題名、著者、出版地及出版者、出版年及版次」四者均相同的文獻而言。其中如有一項不同時，即視為不同的作品，分別建為兩筆書目紀錄。 3 同一作品如以不同MARC所建立之書目紀錄，例如一館以C MAR建檔，另一館以US MARC建檔，電腦判讀則視為兩筆書目紀錄。 4 各館在文獻編目建檔時，因編目人員的學養及判斷的差異，對於同一著錄項目可能會選用不同欄位，以致使得原本是同一筆書目資料，在電腦判讀辨識時，會被視為兩筆書目紀錄。 5 書目紀錄建檔時，其所選用之字形或字碼不同，亦會影響書目紀錄識別問題，將原是同一作品視為兩筆書目紀錄。"
"22","0000-00-00 00:00:00","22932","本人服務的圖書館，收藏有兒童學習百科附練習的學習本，打算不予分編。請問是否所有入藏文獻皆需分類編目，是否有一定的標準？假如不擬分編，請問文獻應如何處理？","2010-01-01","臺端所問圖書館是否為每一種入藏文獻編製目錄，答案應是肯定的，茲申論理由如下： 我們到圖書館借閱文獻，通常方式有二：其一、從開架式書架上直接取閱，其二、也許更多的方式，是從查檢目錄開始來借閱文獻的。因為，目錄具有四大作用，即「記錄、識別、組織和檢索」文獻之作用。由於具有這些作用，因此目錄便具有替代原文獻的作用。由此可知，凡圖書館入藏的文獻，都應為其編製相應的款目，然後再依某種順序組成目錄。目錄因為具有多種排列組織和檢索的方式，因而避免了文獻實體只能限定一個位置的弊病，讓讀者從各種途徑和方式均可查檢。 再者，目錄是圖書館展開服務的核心和樞紐，表現在此方面（即圖書館應用方面）的功能主要兩方面：1. 圖書館目錄是讀者檢索館藏文獻的工具：首先，目錄可以向讀者提供文獻檢索途徑；其次，讀者可以透過目錄認識文獻、分析比較文獻，從而由館藏中選擇讀者需要的文獻。2. 圖書館目錄是開展館務各項工作的基礎：是圖書館展開採訪、分編、閱覽、典藏等工作的基礎。"
"23","0000-00-00 00:00:00","22933","請問貴館處理DVD-ROM的編目與CD-ROM有何區別? 特藏號是否一樣?","2013-04-23","CD與DVD外觀極為相似，但容量與規格不同，DVD的用途也比CD多── 一、CD-ROM 唯讀記憶光碟，既存儲音樂又存儲電腦數位資料，外觀上兩者完全相同： 1. 音樂CD，本館著錄時稱「雷射唱片」，書標上的館藏代碼AP 2. 一般存儲電腦數位資料之CD，本館著錄時稱「光碟片」，館藏代碼為DR 二、DVD 為Digital Versatile Dise 的簡稱，中文稱數位多功能影音光碟。是一種光碟存儲器，通常用來播放標準如電視機清晰度的電影、高質量的音樂與大容量資料之儲存。與上述CD不同，是多用途光碟： DVD-ROM：儲存電腦資料 DVD-Video：儲存影像 DVD-Audeo：儲存音樂 DVD-R：只可寫入一次燒錄碟片 DVD-RAM：可重覆寫入燒錄碟片 VCD、DVD、BD，本館著錄時皆稱「影音光碟」，館藏代碼VD。 另若為Mp3、Mp4音檔格式的光碟片則館藏代碼AP。 錢月蓮敬答  20130425"
"24","0000-00-00 00:00:00","22934","餐旅管理類的書 內容包含旅館業和餐飲業之經營, 請問宜歸入哪一類??483.8 or 489.2 or 992.61 or 其他? 992.61 觀光旅館 又註明各旅館之營業入489.2"",那992.61是要放哪些?懇請解惑, 感謝!!""","2013-04-23","一、餐旅管理類的書籍，若內容包含旅館業和餐飲業之經營，建議歸入483.8或489.2，視書的內容比重而定。 1. 書的內容以旅館業為主兼談旅館之餐飲管理入489.2旅行業 (旅館業)。 2. 書的內容明顯分餐飲業與旅館業兩大塊時： (1)看內容比重及作者意旨較偏向何者，歸入比重較重或作者寫作較偏向的一方。 (2)若兩部分的比重齊鼓相當時，歸入內容在前者。如書的章節內容先講旅館業的經營管理後講餐飲業的經營管理，則歸入489.2旅館業。 分類要熟記分類原則─ ─ 圖書內容涉及兩個以上主題時，原則上依內容所側重者分類(兩個主題屬並列關係得依篇幅多者或在前之主題分類。(中國圖書分類法 增訂七版 p. VI  圖書分類簡則；增訂八版 p.6) 二、992.61指旅館設施，如一本書介紹旅館有哪些設施，但並未談及如何經營或管理，可歸入此類。 例1：最值得體驗的18家極致旅館 : 越南法式旅館.印度皇宮旅館.京都老舖旅館 / 郭燕如, 王思佳主編 例2：100個旅店的享樂冒險 = Once-in-a-lifetime hotels / MOOK編輯室作 ※當我們編目遇到相似類名時，一定要看類名的「上一位」所屬的類，才不致偏離主題或造成困擾。489.2的上位是489 各種營業，489的上位是480，此類是有關工商業的經營與產品販售；992.61 觀光旅館的上位是992.6 觀光設施，兩者的區別應該是可以理解的。 錢月蓮敬答  20130423"
"25","0000-00-00 00:00:00","22935","請問可否在館外使用 telnet系統查詢 貴館（國家圖書館）的書目紀錄？","2010-01-01","答案應該是肯定的。在館外使用telnet系統查詢國家圖書館之書目紀錄，只須備有家用電腦即可。茲將使用步驟簡述如後：開啟電腦後，以滑鼠點選開始按紐，再點選執行，即出現一小對話框，先鍵入“Telnet”，空一格再鍵入IP Adress即可連上telnet系統，然後依提示文字鍵入帳號及密碼，即進入所欲查詢之系統。 1 進入國家圖書館資訊網系統／本館各系統／本館館藏目錄查詢系統 IP Adress：Telnet 192.83.186.10 帳號（Login）：鍵入小寫字母“ncl” 密碼（Password）：鍵入小寫字母“ncl” 2 進入全國圖書資訊網系統（NBInet） 2.1 直接進入 ◇IP Adress：Telnet 192.83.186.100 ◇帳號（Login）：有下列三種鍵入方式 ‧鍵入小寫字母“chinese”：中文Big-5字碼模式 ‧鍵入小寫字母“cccii”：中文CCCII字碼模式 ‧鍵入小寫字母“library”：英文模式 ◇密碼（Login）：無須鍵入任何字符 2.2 間接進入：依“1”先進入“國家圖書館資訊網系統”，然後選“全國圖書資訊網系統”（NBInet） 3 附記：本解答內容，係依據本館林昭君及許靜芬兩位同事提供之資料編寫，特此誌謝！"
"26","0000-00-00 00:00:00","22936","您好！敝館為臺中市文化局連線合作館，日前刷出13筆條碼號與書刊名不符，因權限原因需請鼎盛公司處理，故將正確書刊名及ISBN傳至鼎盛。得到回覆是由於套書轉檔以及ISBN相同所致。由轉檔造成之ERROR DATA，只能由建檔機構修改。請問1. ERROR DATA該如何處理？2. 一本書不是只有一個ISBN嗎？若有多筆書目同一ISBN，請問是何原因？","2010-01-01","1 第一個問題，由於筆者並未親眼目睹，也未實地深入了瞭 貴館實際問題廃狀況。因此，未便作答，敬請見諒。 2 第2個問題，筆者試解如下，敬請參考。一般而論，ISBN是一種便於庫存管理的號碼，通常一書一號以達到識別每一種、每一版、每一冊之獨一無二的號碼。但有時也有例外之處，例外原因主要有二：其一、文獻本身因素：即出版機構申請ISBN時，是以套書為單位只申請一個號碼，亦即多卷書共用一個ISBN。假若編目時，系統未設有自動檢查機制，就有可能出現多筆書目資料同用一個ISBN之現象。其二、作業人員疏忽：編目人員以某一筆書目資料為基礎，以拷貝（Copy）方式編製其他相關書之書目資料，事後又未將原先書目資料之ISBN刪除或更改，因而造成多筆書目資料同用一個ISBN。"
"27","0000-00-00 00:00:00","22937","請問大陸地區是否已經建立類似臺灣地區圖書館NBINet的聯合目錄？若建有此類機制，請問從何處進行查詢？","2010-01-01","(一)目前，中國大陸建有類似臺灣地區圖書館NBINet聯合目錄的機制，其名稱為全國圖書館聯合編目中心""(OLCC)，1997年10月正式成立並啟用，經營形態比較接近美國的OCLC。 (二)請上網至中國國家圖書館全球資訊網(http://www.nlc.gov.cn)，點選""中文版""即進入中文版首頁；然後點選首頁左下區""合作項目""欄目之""全國圖書館聯合編目中心""，即進入該中心網頁。"""
"28","0000-00-00 00:00:00","22938","請問《中國機讀編目格式》中文音譯符號採“韋傑式羅馬拼音”系統，今教育部通過“通用拼音方案”，對一般大專圖書館編目或其他作業，是否有影響？又對於抄編國家圖書館書目記錄，是否也有影響？","2010-01-01","(一)我國注音符號之譯音符號主要有“羅馬拼音方案”和“漢語拼音方案”(其實也是根據羅馬字母加以創制)兩種。“羅馬拼音”又可分為“韋妥瑪式”(後由傑理斯加以改進，通稱“韋傑式”)、“耶魯式”、“郵政式”以及目前的“通用拼音方案”等。無論採那一種方式，基本上與漢語發音(或注音符號)並不是絕對的契合。 (二)早期中文譯音符號曾通用“韋傑式”，但目前大多數的地區及機構，例如美、加、澳、星、馬等地，以及美國國會圖書館、東亞有關圖書館等機構，已換用為“漢語拼音”，並已為聯合國承認為正式的譯音符號。 (三)譯音符號對於圖書館界衝擊基本上應該是比較小。雖然，我國目前通過譯音符號採“通用拼音方案”，但政府也明說並不採強制方式的推行政策。是以，圖書館部門應可根據本身之特色及需求，在“與世界接軌”或“與本土相結合”二者之間，即在“漢語拼音方案”、“威翟式羅馬拼音”、“通用拼音方案”數種方式中選擇一種。"
"29","0000-00-00 00:00:00","22939","請問「合作編目」與「集中編目」是什麼意思？","2010-01-01","(一)合作編目：又稱分擔編目。指由若干圖書館分擔編目工作，共享編目成果的活動。通常由一個中心圖書館負責組織和協調，其他圖書館或按地區或按專業分工獨立進行。合作編目可加快編目速度，互通有無，有利於發展館際合作和落實文獻資源的共建共享。自從電腦應用於文獻編目工作之後，出現了現代化的合作編目形式 ─ 線上合作編目（聯機合作編目）。它利用圖書館自動化網路，由多個文獻資訊機構結合建構成線上目錄資料庫。成員圖書館可根據文獻的某一特徵，例如根據國際標準書號進行文獻檢索，假如資料庫中已有該筆文獻的書目記錄，就不必進行編目；否則，由該圖書館進行編目，並新增一筆書目記錄。 (二)集中編目：由一個中心機構負責編目，眾多文獻資訊機構共享其成果的活動。集中編目可避免重複勞動，提高目錄質量，統一著錄格式，有利於文獻資源的共享。集中編目主要的特點： 通常由國家圖書館或地區的大中型圖書館作為國家編目中心或地區編目中心，向全國或地區的圖書館發行印刷目錄卡片、機讀目錄，並負責解答文獻編目業務的諮詢問題； 編目方法力求做到規範化、標準化，以實現書目資訊交流； 著錄項目齊全，便於各類文獻工作機構根據實際需要，選擇不同詳簡程度的目錄款目或書目記錄。 (三)根據上述，可知合作編目與集中編目二者之涵義不盡相同。它們最大差異之處在於合作編目是分擔編目、各館分享""，其中一館為負責圖書館，但成員圖書館地位基本是平等的；集中編目則是""一館編目、多館分享""，成員圖書館分享中心圖書館的編目成果。 **附誌：以上一、二兩節文字，主要參考《圖書館學百科全書》（北京：中國大百科全書出版社，1993.08）有關條目撰寫而成。"""
